REF,RESTRICTION,SITE_NAME,SUMMARY,AUTHORITY,DATE_FROM,DATE_TO,LEG_NAME,LEG_DATE,LEG_LINK,MORE_INFO,UPDATED
1341,1,"Netting Permit Byelaw: Coastal Area 2","A permit holder or named representative is only authorised to use a net where; a) the headline of the fixed net is set at least 3 metres below the surface of the water at any state of the tide; b) the net used is a seine net; or c) the net used is a drift net.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1340,1,"Netting Permit Byelaw: Coastal Area 3","A permit holder or named representative is only authorised to use a net where; a) the headline of the fixed net is set at least 3 metres below the surface of the water at any state of the tide; b) the net used is a seine net; or c) the net used is a drift net.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1346,1,"Netting Permit Byelaw: Coastal Area 4","A permit holder or named representative is only authorised to use a net where; a) the headline of the fixed net is set at least 3 metres below the surface of the water at any state of the tide; b) the net used is a seine net; or c) the net used is a drift net.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1345,1,"Netting Permit Byelaw: Coastal Area 5","A permit holder or named representative is only authorised to use a net where; a) the headline of the fixed net is set at least 3 metres below the surface of the water at any state of the tide; b) the net used is a seine net; or c) the net used is a drift net.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1344,1,"Netting Permit Byelaw: Coastal Area 6","A permit holder or named representative is only authorised to use a net where; a) the headline of the fixed net is set at least 3 metres below the surface of the water at any state of the tide; b) the net used is a seine net; or c) the net used is a drift net.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1343,1,"Netting Permit Byelaw: Coastal Area 7","A permit holder or named representative is only authorised to use a net where; a) the headline of the fixed net is set at least 3 metres below the surface of the water at any state of the tide; b) the net used is a seine net; or c) the net used is a drift net.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1348,1,"Netting Permit Byelaw: Coastal Area 8","A permit holder or named representative is only authorised to use a net where; a) the headline of the fixed net is set at least 3 metres below the surface of the water at any state of the tide; b) the net used is a seine net; or c) the net used is a drift net.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1347,1,"Netting Permit Byelaw: Coastal Area 9","A permit holder or named representative is only authorised to use a net where; a) the headline of the fixed net is set at least 3 metres below the surface of the water at any state of the tide; b) the net used is a seine net; or c) the net used is a drift net.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1317,1,"Netting Permit Byelaw: Doniford","A permit holder or named representative is not authorised to use a fixed net.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1318,1,"Netting Permit Byelaw: Dunster beach A","A permit holder or named representative is not authorised to use a fixed net.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1319,1,"Netting Permit Byelaw: Dunster beach B","A permit holder or named representative is not authorised to use a fixed net.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1314,1,"Netting Permit Byelaw: Lundy Island","A permit holder or named representative is not authorised to use any net.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1298,1,"Netting Permit Byelaw: River Avon","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1298,2,"Netting Permit Byelaw: River Avon","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1313,1,"Netting Permit Byelaw: River Axe","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1313,2,"Netting Permit Byelaw: River Axe","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1305,1,"Netting Permit Byelaw: River Axe (Somerset)","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1305,2,"Netting Permit Byelaw: River Axe (Somerset)","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1303,1,"Netting Permit Byelaw: River Brue","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1303,2,"Netting Permit Byelaw: River Brue","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1310,1,"Netting Permit Byelaw: River Dart","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1310,2,"Netting Permit Byelaw: River Dart","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1297,1,"Netting Permit Byelaw: River Erme","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1297,2,"Netting Permit Byelaw: River Erme","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1311,1,"Netting Permit Byelaw: River Exe","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1311,2,"Netting Permit Byelaw: River Exe","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1307,1,"Netting Permit Byelaw: River Lyn 2","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1307,2,"Netting Permit Byelaw: River Lyn 2","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1299,1,"Netting Permit Byelaw: River Otter","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1299,2,"Netting Permit Byelaw: River Otter","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1302,1,"Netting Permit Byelaw: River Parrett","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1302,2,"Netting Permit Byelaw: River Parrett","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1300,1,"Netting Permit Byelaw: River Plym","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1300,2,"Netting Permit Byelaw: River Plym","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1306,1,"Netting Permit Byelaw: River Tamar","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1306,2,"Netting Permit Byelaw: River Tamar","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1301,1,"Netting Permit Byelaw: River Taw/Torridge","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1301,2,"Netting Permit Byelaw: River Taw/Torridge","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1312,1,"Netting Permit Byelaw: River Teign","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1312,2,"Netting Permit Byelaw: River Teign","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1309,1,"Netting Permit Byelaw: River Yealm","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1309,2,"Netting Permit Byelaw: River Yealm","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1308,1,"Netting Permit Byelaw: Salcombe Harbour","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1308,2,"Netting Permit Byelaw: Salcombe Harbour","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1351,1,"Netting Permit Byelaw: Severn Estuary","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1351,2,"Netting Permit Byelaw: Severn Estuary","A permit holder or named representative is not authorised to use any net  other than a seine net and providing that; a) the net measures no longer than 20 metres in length; b) all species caught other than sand eel are returned immediately to the water; c) the size of mesh does not exceed 20mm.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1316,1,"Netting Permit Byelaw: Watchet","A permit holder or named representative is not authorised to use a fixed net.","Devon & Severn IFCA",,,"Netting Permit Byelaw",2016-03-01,https://www.legislation.gov.uk/ukpga/2009/23/contents,https://www.devonandsevernifca.gov.uk/Enforcement-Legislation/Current-Permit-Byelaws-Permit-Conditions,2021-09-01
1085,1,"North Coast","In Northern Ireland inshore waters off the coasts of Counties Londonderry and Antrim the use of any trawl net or seine net for the capture of sea fish is prohibited except from a British fishing boat.",DAERA,,,"Inshore Fishing (Prohibition of Fishing & Fishing Methods) Regulations (NI) 1993 [SR 1993 No. 155] as amended",1993-03-31,https://www.legislation.gov.uk/nisr/1993/155/pdfs/nisr_19930155_en.pdf,https://gis.daera-ni.gov.uk/arcgis/apps/webappviewer/index.html?id=e44a8e27333241bfa2faf4a387fd99d7,2021-07-19
1182,1,"North of Rona","Fishing for sea fish with creels prohibited.","Scottish Government (Marine Scotland)",,,"SSI 2004 No. 276 (Art 5)",2004-07-05,http://www.legislation.gov.uk/ssi/2004/276/schedule/2/made,https://marine.gov.scot/information/fishing-managed-areas,2021-07-07
2156,1,"North Sea Cod Avoidance Measures: East of Fair Isle","North Sea Cod Avoidance Measures. Closed to all gears excluding pelagic gear (purse seine and trawl).","Scottish Government (Marine Scotland)","1st January","15th March","European Union, Norway and the United Kingdom - fisheries consultations: agreed records 2026",2021-12-10,https://www.gov.scot/publications/european-union-norway-and-the-united-kingdom-fisheries-consultations-agreed-records-2022/documents/,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/949293/UK_National_North_Sea_Cod_Avoidance_Plan_PDF_Whole_Document.pdf,2022-02-21
2155,1,"North Sea Cod Avoidance Measures: Foula Deeps","North Sea Cod Avoidance Measures. Closed to all gears excluding pelagic gear (purse seine and trawl).","Scottish Government (Marine Scotland)","1st January","15th March","European Union, Norway and the United Kingdom - fisheries consultations: agreed records 2025",2021-12-10,https://www.gov.scot/publications/european-union-norway-and-the-united-kingdom-fisheries-consultations-agreed-records-2022/documents/,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/949293/UK_National_North_Sea_Cod_Avoidance_Plan_PDF_Whole_Document.pdf,2022-02-21
2154,1,"North Sea Cod Avoidance Measures: Long Hole","North Sea Cod Avoidance Measures. Closed to all gears excluding pelagic gear (purse seine and trawl).","Scottish Government (Marine Scotland)","1st January","15th March","European Union, Norway and the United Kingdom - fisheries consultations: agreed records 2024",2021-12-10,https://www.gov.scot/publications/european-union-norway-and-the-united-kingdom-fisheries-consultations-agreed-records-2022/documents/,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/949293/UK_National_North_Sea_Cod_Avoidance_Plan_PDF_Whole_Document.pdf,2022-02-21
2153,1,"North Sea Cod Avoidance Measures: Papa Bank","North Sea Cod Avoidance Measures. Closed to all gears excluding pelagic gear (purse seine and trawl).","Scottish Government (Marine Scotland)","1st January","15th March","European Union, Norway and the United Kingdom - fisheries consultations: agreed records 2023",2021-12-10,https://www.gov.scot/publications/european-union-norway-and-the-united-kingdom-fisheries-consultations-agreed-records-2022/documents/,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/949293/UK_National_North_Sea_Cod_Avoidance_Plan_PDF_Whole_Document.pdf,2022-02-21
2152,1,"North Sea Cod Avoidance Measures: Stanhope Ground","North Sea Cod Avoidance Measures. Closed to all gears excluding pelagic gear (purse seine and trawl).","Scottish Government (Marine Scotland)","1st January","15th March","European Union, Norway and the United Kingdom - fisheries consultations: agreed records 2022",2021-12-10,https://www.gov.scot/publications/european-union-norway-and-the-united-kingdom-fisheries-consultations-agreed-records-2022/documents/,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/949293/UK_National_North_Sea_Cod_Avoidance_Plan_PDF_Whole_Document.pdf,2022-02-21
1097,1,"North West Rockall","It shall be prohibited to conduct bottom trawling and fishing with static gear, including bottom set gillnets and bottom set longlines within the area.","Scottish Government (Marine Scotland)",,,"EU 2019/1241 (Annex XII Part D)",2019-08-14,https://www.legislation.gov.uk/eur/2019/1241/annex/XII/part/D,https://marine.gov.scot/information/fishing-managed-areas,2021-07-07
1123,1,"Noss Head and Sinclair Bay protected area","Fishing for sea fish with a dredge, beam trawl, demersal trawl or demersal seine net is prohibited in the Noss Head and Sinclair Bay Protected Area. Fishing for horse mussels is prohibited.","Scottish Government (Marine Scotland)",,,"SSI 2015 No. 435 (Art 9)",2016-02-08,http://www.legislation.gov.uk/ssi/2015/435/article/9/made,https://marine.gov.scot/information/fishing-managed-areas,2021-07-07
2088,1,"NWSFC Byelaw 10","No person shall use any set or drift net set from or recovered by boat in fishing for sea fish except in accordance with the following conditions:- (a) No portion of the net shall be at a less distance than 200 metres from any portion of any other net. (b) The net shall be marked by substantial buoys visible above the surface of the water at all states of the tide. (c) The boat\'s name or port letters and numbers shall be clearly displayed on or attached to at least one of the buoys marking the net.","North Western IFCA",,,"NWSFC Byelaw 10: Set and Drift Nets",1985-07-09,https://www.nw-ifca.gov.uk/app/uploads/NWSFC-Byelaw-10.pdf,https://www.nw-ifca.gov.uk/byelaws/,2021-08-12
1908,1,"NWSFC Byelaw 10: Set And Drift Nets","No person shall use any set or drift net set from or recovered by boat in fishing for sea fish.","Welsh Government",,,"Marine and Coastal Access Act 2009 (Commencement No. 1, Consequential, Transitional and Savings Provisions) (England and Wales) Order 2010 (S.I. 2010/630 (C.42))",2010-04-01,https://www.legislation.gov.uk/uksi/2010/630/pdfs/uksi_20100630_en.pdf,https://gov.wales/sites/default/files/publications/2018-05/inshore-fishery-legislation-definitions-of-north-and-north-west-inshore-district-byelaws.pdf,2021-09-23
2089,1,"NWSFC Byelaw 11","No person shall use in fishing for sea fish any set or staked net, line, pot, trap, keep pot or box, except in accordance with regulations.","North Western IFCA",,,"NWSFC Byelaw 11: Marking of fishing gear and keep pots",2003-08-22,https://www.nw-ifca.gov.uk/app/uploads/NWSFC-Byelaw-11.pdf,https://www.nw-ifca.gov.uk/byelaws/,2021-08-12
1909,1,"NWSFC Byelaw 11: Marking Of Fishing Gear And Keep Pots","No person shall use in fishing for sea fish any set or staked net, line, pot, trap, keep pot or box.","Welsh Government",,,"Marine and Coastal Access Act 2009 (Commencement No. 1, Consequential, Transitional and Savings Provisions) (England and Wales) Order 2010 (S.I. 2010/630 (C.42))",2010-04-01,https://www.legislation.gov.uk/uksi/2010/630/pdfs/uksi_20100630_en.pdf,https://gov.wales/sites/default/files/publications/2018-05/inshore-fishery-legislation-definitions-of-north-and-north-west-inshore-district-byelaws.pdf,2021-09-23
